,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
1941,Zambezi FM,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,Yesterday,Past 7 Days,"Mosi--Tunya,Zambezi FM"
1942,Falls,60754079,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Other Christian,Housewife,D,Under K 849,No,35 – 44,Yesterday,Past 12 Months,Falls
1943,Mosi--Tunya,60754080,Southern,Livingstone,Rural,Female,1,None,D,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,Yesterday,Never,Mosi--Tunya
1944,Mosi--Tunya,60754082,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Self employed,D,Under K 849,Yes,45+,Yesterday,Never,"Falls,Mosi--Tunya"
1945,Falls,60754082,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Self employed,D,Under K 849,Yes,45+,Yesterday,Never,"Falls,Mosi--Tunya"
1946,Zambezi FM,60754083,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,35 – 44,Past 7 Days,Past 12 Months,"Radio 1,Zambezi FM"
1947,Radio 1,60754083,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,35 – 44,Past 7 Days,Past 12 Months,"Radio 1,Zambezi FM"
1948,Falls,60754084,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,No,45+,Yesterday,Past 12 Months,"Falls,Zambezi FM"
1949,Zambezi FM,60754084,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,No,45+,Yesterday,Past 12 Months,"Falls,Zambezi FM"
1950,Mosi--Tunya,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 12 Months,"Falls,Mosi--Tunya,Zambezi FM"
1951,Falls,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 12 Months,"Falls,Mosi--Tunya,Zambezi FM"
1952,Zambezi FM,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 12 Months,"Falls,Mosi--Tunya,Zambezi FM"
1953,Mosi--Tunya,60754086,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1954,Falls,60754086,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1955,Zambezi FM,60754086,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1956,Zambezi FM,60754087,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,Zambezi FM
1957,Mosi--Tunya,60754090,Southern,Livingstone,Rural,Male,1,None,D,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 12 Months,"Mosi--Tunya,Zambezi FM"
1958,Zambezi FM,60754090,Southern,Livingstone,Rural,Male,1,None,D,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24,Yesterday,Past 12 Months,"Mosi--Tunya,Zambezi FM"
1959,Mosi--Tunya,60754093,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1960,Falls,60754093,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1961,Zambezi FM,60754093,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,35 – 44,Yesterday,Past 7 Days,"Falls,Mosi--Tunya,Zambezi FM"
1962,Radio Mano,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,Yesterday,Past 12 Months,Radio Mano
1963,Radio Mano,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,Radio Mano
1964,Lutanda,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Radio 1"
1965,Radio 1,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Radio 1"
1966,Kwithu FM,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Radio 1"
1967,Radio Mano,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Lutanda,Kwithu FM,Radio Mano,Radio 1"
1968,QFM,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,Yesterday,Yesterday,"Phoenix FM,QFM,Radio 1"
1969,Phoenix FM,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,Yesterday,Yesterday,"Phoenix FM,QFM,Radio 1"
1970,Radio 1,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,Yesterday,Yesterday,"Phoenix FM,QFM,Radio 1"
1971,KNCRADIO,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,Yesterday,Yesterday,"KNCRADIO,Power FM"
1972,Power FM,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,Yesterday,Yesterday,"KNCRADIO,Power FM"
1973,Radio 2,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Yesterday,"Power FM,Radio 2"
1974,Power FM,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Yesterday,"Power FM,Radio 2"
1975,New Generation,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 4 Weeks,"Kabangabanga,New Generation,Parliament"
1976,Parliament,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 4 Weeks,"Kabangabanga,New Generation,Parliament"
1977,Kabangabanga,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 4 Weeks,"Kabangabanga,New Generation,Parliament"
1978,Solwezi FCC Radio,60757631,North-Western,Solwezi,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,No,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Radio 1"
1979,Radio 1,60757631,North-Western,Solwezi,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,No,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Radio 1"
1980,Kabangabanga,60757632,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 7 Days,"Kabangabanga,Radio 1,Radio 1"
1981,Radio 1,60757632,North-Western,Solwezi,Rural,Female,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,Past 7 Days,Past 7 Days,"Kabangabanga,Radio 1,Radio 1"
1982,Kabangabanga,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Kabangabanga,Radio 2,Radio Christian Voice"
1983,Solwezi FCC Radio,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Kabangabanga,Radio 2,Radio Christian Voice"
1984,Radio 2,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Kabangabanga,Radio 2,Radio Christian Voice"
1985,Radio Christian Voice,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Solwezi FCC Radio,Kabangabanga,Radio 2,Radio Christian Voice"
1986,Kabangabanga,60757636,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Never,"Kabangabanga,Radio 2"
1987,Radio 2,60757636,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Never,"Kabangabanga,Radio 2"
1988,Radio 1,60757637,North-Western,Solwezi,Urban,Male,1,None,C1,Some university,Anglican/Protestant,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Past 12 Months,Never,Radio 1
1989,PASME,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Past 7 Days,Past 7 Days,"PASME,Petauke Explorers,Radio 1"
1990,Petauke Explorers,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Past 7 Days,Past 7 Days,"PASME,Petauke Explorers,Radio 1"
1991,Radio 1,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Past 7 Days,Past 7 Days,"PASME,Petauke Explorers,Radio 1"
1992,Petauke Explorers,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Never,"Petauke Explorers,Radio 1"
1993,Radio 1,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Never,"Petauke Explorers,Radio 1"
1994,QFM,60762545,Lusaka,Lusaka,Urban,Male,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,Past 12 Months,Past 4 Weeks,"Komboni Radio,QFM"
1995,Komboni Radio,60762545,Lusaka,Lusaka,Urban,Male,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,Past 12 Months,Past 4 Weeks,"Komboni Radio,QFM"
1996,Radio Christian Voice,60762546,Lusaka,Lusaka,Urban,Female,0,None,C1,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,Radio Christian Voice
1997,QFM,60762548,Lusaka,Lusaka,Urban,Male,0,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Past 4 Weeks,Never,"Komboni Radio,QFM"
1998,Komboni Radio,60762548,Lusaka,Lusaka,Urban,Male,0,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Past 4 Weeks,Never,"Komboni Radio,QFM"
1999,Komboni Radio,60762550,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,Past 4 Weeks,Past 4 Weeks,Komboni Radio
2000,Radio 1,60762551,Lusaka,Lusaka,Urban,Female,0,None,C2,Some primary school,Other Christian,Working Part-Time,D,Under K 849,Yes,45+,Past 4 Weeks,Past 12 Months,Radio 1
2001,Komboni Radio,60762552,Lusaka,Lusaka,Urban,Male,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"Joy FM,Komboni Radio"
2002,Joy FM,60762552,Lusaka,Lusaka,Urban,Male,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"Joy FM,Komboni Radio"
2003,Komboni Radio,60762555,Lusaka,Lusaka,Urban,Male,0,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,Yesterday,Past 12 Months,Komboni Radio
2004,Radio 1,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,Past 4 Weeks,Past 12 Months,"Komboni Radio,Radio 1"
2005,Komboni Radio,60762556,Lusaka,Lusaka,Urban,Female,0,None,C2,No formal education,Anglican/Protestant,Unemployed [SEEKING A JOB],D,No Income,Yes,19 – 24,Past 4 Weeks,Past 12 Months,"Komboni Radio,Radio 1"
2006,Komboni Radio,60762557,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Other Christian,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,Komboni Radio
2007,Komboni Radio,60762558,Lusaka,Lusaka,Urban,Male,0,None,C2,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 4 Weeks,Past 12 Months,Komboni Radio
2008,FIVE FM,60762559,Lusaka,Lusaka,Urban,Male,3,None,C2,Primary school completed,Other Christian,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Past 4 Weeks,Past 4 Weeks,"FIVE FM,Hot FM,Komboni Radio"
2009,Hot FM,60762559,Lusaka,Lusaka,Urban,Male,3,None,C2,Primary school completed,Other Christian,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Past 4 Weeks,Past 4 Weeks,"FIVE FM,Hot FM,Komboni Radio"
2010,Komboni Radio,60762559,Lusaka,Lusaka,Urban,Male,3,None,C2,Primary school completed,Other Christian,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Past 4 Weeks,Past 4 Weeks,"FIVE FM,Hot FM,Komboni Radio"
2011,Rock FM,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2012,QFM,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2013,Radio Christian Voice,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2014,Komboni Radio,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2015,Radio 1,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2016,Chongwe,60763914,Lusaka,Lusaka,Urban,Male,1,None,C2,Some primary school,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,"Chongwe,Radio Christian Voice,Komboni Radio,QFM,Radio 1,Rock FM"
2017,BBC,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2018,QFM,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2019,Radio 2,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2020,Radio 1,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2021,Yangeni FM,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2022,Yatsani,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2023,Phoenix FM,60763915,Lusaka,Lusaka,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"BBC,Phoenix FM,QFM,Radio 1,Radio 2,Yatsani,Yangeni FM"
2024,BBC,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,Past 7 Days,Past 4 Weeks,"BBC,Komboni Radio"
2025,Komboni Radio,60763916,Lusaka,Lusaka,Urban,Male,1,None,C1,University completed,Anglican/Protestant,Self employed,C2,K 850-K 1674,Yes,35 – 44,Past 7 Days,Past 4 Weeks,"BBC,Komboni Radio"
2026,Radio 1,60763917,Lusaka,Lusaka,Urban,Female,1,One,AB,Some university,Others,Self employed,C2,Under K 849,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Komboni Radio,Radio 1"
2027,Komboni Radio,60763917,Lusaka,Lusaka,Urban,Female,1,One,AB,Some university,Others,Self employed,C2,Under K 849,Yes,25 – 34,Past 7 Days,Past 4 Weeks,"Komboni Radio,Radio 1"
2028,PASME,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
2029,Radio Breeze FM,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
2030,Petauke Explorers,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
2031,Radio 1,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
2032,Feel Free,60772780,Eastern,Chipata,Rural,Male,1,None,D,Some high school,Roman Catholic,Working Part-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,QFM,Radio 1,Radio 1"
2033,QFM,60772780,Eastern,Chipata,Rural,Male,1,None,D,Some high school,Roman Catholic,Working Part-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,QFM,Radio 1,Radio 1"
2034,Radio Breeze FM,60772780,Eastern,Chipata,Rural,Male,1,None,D,Some high school,Roman Catholic,Working Part-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,QFM,Radio 1,Radio 1"
2035,Radio 1,60772780,Eastern,Chipata,Rural,Male,1,None,D,Some high school,Roman Catholic,Working Part-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,QFM,Radio 1,Radio 1"
2036,Radio Maria,60772780,Eastern,Chipata,Rural,Male,1,None,D,Some high school,Roman Catholic,Working Part-Time,D,K 850-K 1674,Yes,35 – 44,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,QFM,Radio 1,Radio 1"
2037,Feel Free,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
2038,Radio 4,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
2039,Radio Breeze FM,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
2040,Radio 2,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
2041,Radio 1,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
2042,Radio Maria,60772781,Eastern,Chipata,Rural,Female,1,None,D,Some high school,Roman Catholic,Housewife,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 7 Days,"Radio Breeze FM,Feel Free,Radio Maria,Radio 1,Radio 2,Radio 4,Radio 1 "
