SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60654804,,,,,,,,,,,,,",", ,, ,
60654805,,,,,,,,,,,,,",", ,, ,
60654806,At home,On a radio,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,6 days per week,Less than that,Radio Christian Voice,good religious programs,"Friday,Saturday,Sunday","Religious,", ,Late evening, ,"Mosi-0-Tunya,Radio 4,Radio Christian Voice,Zambezi"
60654807,At home,On a radio,4 days per week,Do not listen at this time,Less than that,Less than that,Less than that,Do not listen at this time,Less than that,Radio Christian Voice,good Christian programs,"Friday,Saturday,Sunday","News/current affairs,Religious,", ,Late morning, ,"Falls,Mosi-0-Tunya,Radio Christian Voice,Zambezi"
60654808,Other (specify),On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Less than that,Do not listen at this time,Falls,good programs aired,"Friday,Saturday,Sunday","Music shows,News/current affairs,", ,Late evening, ,"Falls,Mosi-0-Tunya,Zambezi"
60654809,,,,,,,,,,,,,",", ,, ,
60654810,,,,,,,,,,,,,",", ,, ,
60654811,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,5 days per week,Less than that,Do not listen at this time,Falls,good programs,"Thursday,Friday,Saturday","Politics,News/current affairs,Environmental issues,Developmental issues e.g. building of roads,", ,Early morning, ,"Falls,Mosi-0-Tunya"
60658199,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,because of the programme which comes on Wednesday called ilyashi lyapano isonde,Wednesday,"Social/community programs e.g. people with special needs,News/current affairs,", ,Late evening, ,"Mkushi,Radio 1,Radio 2"
60658200,At home,On a radio,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 1,they bring nice community programs,Wednesday,"Social/community programs e.g. people with special needs,News/current affairs,", ,Late evening, ,"Mkushi,Radio 1"
60658201,At home,On a radio,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 1,because  of the nice community programmes,Wednesday,"Social/community programs e.g. people with special needs,", ,Late evening, ,"Mkushi,Radio 1"
60658202,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Radio 1,because a nice programme called ilyashi lyapano isonde,Wednesday,"Social/community programs e.g. people with special needs,", ,Late evening, ,"Mkushi,Radio 1,Radio 2"
60658203,At home,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Mkushi,because of the nice local community programs they bring,Tuesday,"Social/community programs e.g. people with special needs,", ,Early morning, ,Mkushi
60658204,Other (specify),Other (specify),Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,None,don't like any radio station,Monday,"Other (specify),",none,Other (specify),none,"Mkushi,Radio 1,Radio 2"
60663456,In a market placBus,On a radio,5 days per week,3 days per week,4 days per week,5 days per week,3 days per week,2 days per week,Do not listen at this time,Radio 1,Best for Local and community programs.,"Monday,Wednesday,Thursday","Music shows,Radio drama,Religious,Politics,News/current affairs,", ,Early evening, ,"Breeze,Feel Free,Maria,QFM,Radio 1,Radio 2,Radio 4,ZNBC 1"
60664454,At homeIn a car-private,On a radioOn a mobile phone,2 days per week,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,7 days per week,Less than that,{0},Have just become attached to Sun Fm because of the program,"Saturday,Sunday","Radio drama,News/current affairs,Music shows,", ,Early morning, ,"Maranatha,Radio Chrsitian Voice,{0}"
60664455,At home,On a radio,3 days per week,Do not listen at this time,7 days per week,5 days per week,7 days per week,7 days per week,Do not listen at this time,Radio 1,Because of local programs,"Monday,Wednesday,Thursday,Saturday","Radio drama,News/current affairs,Music shows,", ,Early evening, ,"KNC,Maranatha,Power"
60664456,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,KNC,Because they have nice programs,"Saturday,Sunday","Radio drama,News/current affairs,Religious,Music shows,", ,Early evening, ,"KNC,Maranatha,Power"
60664687,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,BBC,because it updates me on what is happening,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Sports Commentaries,", ,Early morning, ,Icengelo
60665278,At homeAt work (office field etc),On a radioOn a mobile phone,1 day per week,Less than that,2 days per week,4 days per week,2 days per week,Less than that,Less than that,Mazabuka,signal is strong,"Monday,Wednesday,Saturday","Politics,Sports Commentaries,Developmental issues e.g. building of roads,Music shows,News/current affairs,Radio drama,Gender issues,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,Religious,", ,Early evening, ,"BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY,{0}"
60665279,At homeAnother household (friends relatives house)At work (office field etc),On a mobile phone,3 days per week,2 days per week,2 days per week,3 days per week,4 days per week,1 day per week,1 day per week,Radio 4,they bring countrywide news,"Wednesday,Thursday,Saturday","Politics,Gender issues,Music shows,Health issues e.g. HIV / AIDS,Radio drama,Social/community programs e.g. people with special needs,Religious,Environmental issues,News/current affairs,Developmental issues e.g. building of roads,", ,Late morning, ,"Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4"
60665523,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Radio 1,Because i want to know what is happening in the contries,Wednesday,"Radio drama,", ,Late evening, ,"Icengelo,Radio 1"
60666033,At home,On a radioOn a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Icengelo,religious,"Saturday,Sunday","Religious,", ,Early evening, ,"Chimwemwe,Icengelo,Jive,Phoenix,Sun,ZNBC 1"
60666528,In a car-privateOther (specify),Other (specify),Less than that,Less than that,Do not listen at this time,Less than that,Less than that,Less than that,Do not listen at this time,Radio 4,the programs were educative and the music was interesting,Tuesday,"Radio drama,Music shows,Environmental issues,Social/community programs e.g. people with special needs,", ,Other (specify),Just by  chance,"Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,ZNBC 1"
60666738,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Flava FM,because of music they pray,Wednesday,"Politics,", ,Late evening, ,"Flava FM,Icengelo,Radio 1"
60667009,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Icengelo,gospel songs,Tuesday,"Music shows,", ,Late afternoon, ,"BBC,Icengelo,Phoenix,Radio Mpongwe"
60667010,At home,On a radio,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Sun,music programmes,Saturday,"Music shows,", ,Lunch time, ,"Icengelo,Phoenix,Sun"
60667011,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,{0},bible reasons,"Tuesday,Friday","Other (specify),",bible reasons,Late evening, ,"Flava FM,Icengelo,Radio 1,{0}"
60667012,At home,On a radioOn a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,Icengelo,bible reasons/interesting programmes,Tuesday,"Religious,Other (specify),",bible reasons/study,Early morning, ,"BBC,Icengelo,Radio 1,Rise FM"
60667449,At homeIn a car-privatePublic van,On a radio,5 days per week,4 days per week,3 days per week,3 days per week,3 days per week,Less than that,Do not listen at this time,Radio 1,Best for Local community programs.,"Monday,Wednesday","Music shows,News/current affairs,Radio drama,", ,Late evening, ,"Breeze,Feel Free,Maria,QFM,Radio 1"
60667474,Other (specify),Other (specify),Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Christian Voice,the programs used to uplift and build her spirit,"Tuesday,Thursday","Religious,Other (specify),",the programs that they used to broadcast on how a Christian should be,Other (specify),does not listen to the radio,don’t know
60667629,At home,On a radio,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Roots,they play music that I enjoy,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Music shows,", ,Early morning, ,"Komboni,Millennium,Q FM,Roots,{0}"
60667630,Other (specify),On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Komboni,it's entertaining,"Monday,Tuesday,Thursday","Music shows,", ,Late evening, ,"Comet 10,Komboni,Millennium"
60667631,Other (specify),On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Radio 4,they bring programs that educate me,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Music shows,Health issues e.g. HIV / AIDS,News/current affairs,Environmental issues,Politics,", ,Late evening, ,"Hot,Komboni,Millennium,One Love,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60667632,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,4 days per week,5 days per week,1 day per week,Do not listen at this time,ZNBC 1,I  like listening to news,"Monday,Tuesday,Wednesday,Thursday,Friday","Religious,News/current affairs,Health issues e.g. HIV / AIDS,", ,Early morning, ,"Komboni,Radio 1,Yatsani"
60667734,At home,On a mobile phone,4 days per week,1 day per week,1 day per week,2 days per week,1 day per week,2 days per week,Less than that,Radio 4,news,Saturday,"News/current affairs,", ,Early morning, ,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Yar"
60667735,At home,On a radioOn a mobile phone,6 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,Icengelo,news,Wednesday,"News/current affairs,Religious,", ,Early evening, ,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar"
60667736,At home,On a mobile phone,3 days per week,2 days per week,2 days per week,1 day per week,1 day per week,2 days per week,Do not listen at this time,Icengelo,gospel,Saturday,"Religious,", ,Early morning, ,"Flava FM,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun,Yar"
60667979,At home,On a radio,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Flava FM,because i like to hear music,Tuesday,"Music shows,", ,Early evening, ,"Icengelo,Radio 1"
60668043,At home,On a radioOn a mobile phone,7 days per week,4 days per week,1 day per week,7 days per week,1 day per week,1 day per week,Do not listen at this time,Chimwemwe,good programmes,Friday,"Music shows,Religious,Social/community programs e.g. people with special needs,", ,Early morning, ,"Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Sun,ZNBC 1,ZNBC 2,ZNBC 4"
